mood,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
calm,0.603,0.677,0.351,0.796,0.159,-13.184,0.0521,75.0,0.396,4
calm,0.702,0.88,0.282,0.589,0.127,-9.257,0.213,132.946,0.73,4
calm,0.947,0.743,0.268,0.814,0.172,-8.826,0.0561,85.999,0.658,4
calm,0.737,0.723,0.435,0.00714,0.075,-9.095,0.0328,82.033,0.335,4
calm,0.272,0.783,0.538,0.856,0.155,-9.948,0.0928,83.98,0.69,4
calm,0.899,0.476,0.115,0.873,0.0927,-15.818,0.0381,191.5,0.241,4
calm,0.0342,0.676,0.587,0.00977,0.117,-10.442,0.0687,173.303,0.673,4
calm,0.707,0.693,0.257,0.961,0.101,-15.642,0.0385,144.057,0.249,4
calm,0.845,0.749,0.324,0.00681,0.105,-10.341,0.185,91.956,0.288,4
calm,0.819,0.873,0.212,0.32,0.136,-16.263,0.811,85.013,0.394,3
calm,0.863,0.639,0.308,0.833,0.0648,-12.329,0.0571,79.518,0.478,4
calm,0.535,0.823,0.283,0.892,0.0759,-7.274,0.341,156.48,0.639,4
calm,0.803,0.387,0.151,0.488,0.106,-7.376,0.0441,81.938,0.0386,4
calm,0.685,0.77,0.351,0.894,0.0894,-13.613,0.0438,90.007,0.711,4
calm,0.508,0.617,0.435,0.854,0.147,-11.203,0.131,146.169,0.305,4
calm,0.00687,0.785,0.682,0.0,0.634,-5.94,0.137,105.16,0.345,4
calm,0.109,0.74,0.329,0.888,0.139,-7.677,0.0469,172.08,0.511,4
calm,0.188,0.609,0.444,0.055,0.14,-13.601,0.107,76.033,0.357,4
calm,0.322,0.59,0.405,0.9,0.108,-11.315,0.0779,168.12,0.765,4
calm,0.775,0.496,0.199,0.882,0.346,-17.063,0.169,82.068,0.253,4
calm,0.139,0.552,0.915,0.949,0.146,-4.421,0.0616,160.02,0.126,4
calm,0.975,0.236,0.33,0.126,0.116,-10.085,0.0325,86.546,0.0827,4
calm,0.959,0.593,0.414,0.896,0.18,-12.527,0.0466,74.998,0.466,4
calm,0.748,0.787,0.411,0.777,0.0913,-7.161,0.044,87.992,0.294,4
calm,0.464,0.652,0.756,0.00014,0.169,-8.975,0.176,79.686,0.581,4
calm,0.00515,0.654,0.787,0.0,0.144,-4.999,0.0502,123.978,0.409,4
calm,0.649,0.734,0.144,0.769,0.105,-10.34,0.0426,74.972,0.175,4
calm,0.897,0.796,0.368,0.797,0.102,-10.397,0.615,159.918,0.791,3
calm,0.614,0.745,0.118,0.919,0.0998,-18.219,0.0588,81.98,0.0729,4
calm,0.762,0.534,0.186,0.932,0.113,-10.867,0.0304,67.985,0.0697,4
calm,0.455,0.687,0.515,0.897,0.373,-11.418,0.176,80.993,0.214,4
calm,0.242,0.69,0.394,0.823,0.147,-16.714,0.0477,160.014,0.276,4
calm,0.887,0.618,0.297,0.932,0.113,-10.112,0.176,85.299,0.522,4
calm,0.568,0.655,0.534,0.886,0.115,-12.993,0.0372,156.025,0.187,4
calm,0.955,0.461,0.154,0.933,0.0954,-17.3,0.035,119.204,0.04,4
calm,0.97,0.659,0.205,0.888,0.103,-20.425,0.121,76.909,0.672,4
calm,0.476,0.653,0.279,0.932,0.106,-13.593,0.0661,170.276,0.916,4
calm,0.97,0.661,0.416,0.878,0.0856,-10.504,0.755,78.031,0.374,4
calm,0.429,0.286,0.194,0.874,0.334,-19.185,0.0389,144.636,0.16,4
calm,0.537,0.547,0.491,0.821,0.159,-10.399,0.037,79.931,0.188,4
calm,0.775,0.709,0.314,0.75,0.174,-9.708,0.118,82.057,0.48,4
calm,0.564,0.618,0.49,0.393,0.0934,-10.225,0.0278,164.271,0.97,4
calm,0.612,0.66,0.502,0.862,0.119,-6.574,0.066,81.092,0.216,4
calm,0.26,0.899,0.38,0.728,0.13,-10.307,0.0594,129.961,0.477,4
calm,0.943,0.59,0.388,0.816,0.251,-9.197,0.0263,135.011,0.223,4
calm,0.729,0.886,0.481,0.889,0.129,-11.502,0.196,85.0,0.663,4
calm,0.513,0.76,0.227,0.935,0.0976,-17.174,0.0664,144.069,0.118,4
